Durum,Rapor Aciklamasi
Müspet,YANINDAKİ KİŞİYLE KONUŞARAK GİDİYOR VE AYNI ZAMANDA TELEFONLA KONUŞUYOR ŞİKAYETÇİYİM GEREĞİNİN YAPILMASINI TALEP EDİYORUM
Menfi,sabah ve akşam yapılan fiziki denetimde İBRAHİM OVACI nın gün boyu tek çalıştığı tespit edilmiştir.
Menfi,Sabah ve akşam yapılan denetimlerde Mehmet Ali Bulut un tam gün çalıştığı tespit edilmiştir.
Menfi,Sabah ve akşam yapılan denetimler sonucu Barış Karaboğa nın tam gün çalıştığı tespit edilmiştir.
Menfi,Sabah ve akşam yapılan denetimler sonucu Cüneyiz Devrim in tam gün çalıştığı tespit edilmiştir.
Müspet,Arka dış led ekran 2.kez uyarıya rağmen onarılmamış.
Müspet,OTOBUS AHMET YESEVİ CAD. YEŞİL IŞIK YANDIĞINDA HAREKET EDERKEN DİĞER TARAFTAN GELEN 34DF9469 PLAKALI ARAÇ OTOBÜSE ÇARPMIŞTIR. OLAY YERİNE GELEN AMBULANS MİNİBÜS ŞOFÖRÜNÜ TAKSİM İLK YARDIM HAST. GÖTÜRMÜŞTÜR.
Müspet,ARAÇ SÜTLÜCE TİCARET ÜNİVERSİTESİ DURAĞINDA 16:50 DE ÖNCEKİ DURAKTA KAZA YAPAN 41NG074 PLAKALI OTO KAZA YAPTIĞI İDDİASI İLE OTOBÜSÜN ÖNÜNÜ KESEREK ARACIN HAREKET ETMESİNİ ENGELLEMİŞTİR.
Müspet,C 1771 KAPI KODU 18K HATTI SULTANBEYLİ YÖNÜ DURAKTA DURMADAN DEVAM ETTİ ŞİKAYETÇİYİM iett tespit: 43 km
Menfi,Sabah ve akşam yapılan denetimler sonucu Burhan Yucal ın tam gün çalıştığı tespit edilmiştir.
Müspet,Kabataştan bir önceki durak olan Fındıklıda 41E otobüsünü beklerken 14:26 da 1513 no lu otobüs tabelası kapalı olarak geçti. Normalde bu duraktan o istikamete giden otobüsler yolcu alıyorlar. bu otobüsün hattını ve neden tabelasını kapattığının araştırılmasını talep ediyorum iett tespit: 32 km
Müspet,Sabah ve akşam yapılan denetimlerde Yasin Otluçimen in tam gün çalıştığı tespit edilmiştir.
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :16:09
Menfi,Sabah ve akşam yapılan denetimler sonucu Kemal Polat ın tam gün çalıştığı tesbit edilmiştir.
Müspet,Sefer Zayi Raporu - Talimata uymayan surucu -1- sefer etkilenmistir İhlal Saati :16:00
Müspet,47 E HAT NOLU OTOBÜSE ALİBEYKÖY STADI DURAĞINDAN BİN EVLER İSTİKAMETİNE GİTMEK İÇİN SAAT 13:523 DE BİNDİM..OTOBÜS ŞÖFÖRÜ BİNDİĞİM DAKİKADAN İTİBAREN TELEFON İLE GÖRÜŞÜYORDU...ŞİKAYETÇİYİM..KENDİSİNİ UYARMAMA RAĞMEN KIZI İLE GÖRÜŞTÜĞÜNÜ SÖYLEDİ..ŞİKAYETÇİYİM..GEREĞİNİN YAPILMASINI ARZ EDERİM.. B-1839 005344
Müspet,Sefer Zayi Raporu - Otobus Yoklugu -1- sefer etkilenmistir ilk zayi saati:15:17
Menfi,122B HATTINA MECİDİYEKÖY YÖNÜNE GİDİŞLİ OLARAK UFUK CADDESİ DURAĞINDA 10 DAKİKADIR BEKLEMEKTEYDİM ARAÇ DURAĞA GELDİ SONRASINDA DURAĞIN 10 MT AŞAĞISINDA DURDU BU DURUMA TEPKİ GÖSTERDİM ARAÇ ŞOFÖRÜ DE BU DURUMA SİNİRLENİP KOLTUĞUNDAN İNİP BANA SALDIRMAYA KALKTI BU NEDENLE ŞİKAYETÇİYİM. ACİLEN İŞLEM BAŞLATILMASINI TALEP EDİYORUM.
Müspet,30.01.2018 tarihinde C 1761 kodlu araca yapılan denetimde aracın dış temizliğinin yapılmadığı tespit edilmiştir
Müspet,HAT: 97A DURAK: YAYLA YÖN: EMİNÖNÜ SEFER SAATİ: 12:10 SAAT: 12:18 CİVARI BELİRTMİŞ OLDUĞUM ARACIN ŞOFÖRÜ BEKLEDİĞİMİZ DURAKTA DURMADAN DEVAM ETTİ. MAĞDUR OLUYORUZ.ŞİKAYETÇİYİM. GEREKENLERİN YAPILMASINI TALEP EDİYORUM. iett tespit: 31 km
Menfi,OTOBÜS DURAKTAYDI ŞÖFÖR SİGARA İÇİYORDU DAHA VAR MI DEDİM BENDE Bİ SİGARA İÇEYİM DEDİM 3 DAKİKA VAR NİYE SİGARA YAKIYORSUN DEDİ KABA DAVRANDI SURAT ASTI ABUK SUBUK ŞEYLER SÖYLEDİ KENDİM ENGELLİYİM
Müspet,HAT: 41E KAPI NUMARASI: B-1788 SAAT: 11:40 YÖN:AYAZAĞA BELİRTMİŞ OLDUĞUM ARACIN ŞOFÖRÜ TRAFİKTE SEYİR HALİNDEYKEN KAPILARI AÇIK GİDİYOR VE TELEFONLA GÖRÜŞME SAĞLIYOR. CAN GÜVENLİĞİMİZİ TEHLİKEYE ATMAKTADIR. KONUYLA ALAKALI ŞİKAYETÇİYİM.
Müspet,34 GA 3887 NO ARAÇ ŞÖFORU SABİHA GÖKÇEN YÖNÜNE GİDERKEN ARAÇ ŞÖFORÜ ELDEN 6 TL ÜCRET ALDI ŞİKAYETÇİYİM SAAT.10.55 DE Hat No Paylaşılmadı.
Müspet,Yapılan kontrolde kamera kayıt cihazının kayıt yapmadığı ve çalışmadığı tespit edildi
Müspet,15.01.18 tarihinde yapılan denetimde araç orta havuz tutamaklarının eksik olduğu tespit edilmiş olup gerekli uyarı yapılıp süre verilmiştir fakat geçen süre zarfında eksiklik giderilmemiştir.
